location_name,sdi_value,sdi_group,high_quality_vr,total_rate,total_deaths,frontier_main,gap_main,avoid_main,frontier_hq,gap_hq,avoid_hq
Bulgaria,0.770862429,High-middle,TRUE,37.074574683659264,112.17183342766545,17.751684933785228,19.322889749874037,58.46281417543381,23.668902508377364,13.4056721752819,40.55984024260131
Guyana,0.695580314,Middle,TRUE,91.35060423852232,67.50916391259615,23.636809915266426,67.7137943232559,50.04128520241138,37.00328730558659,54.34731693293573,40.1633022312094
Ireland,0.906907098,High,TRUE,26.258355877256633,78.07657068946739,10.832598317255426,15.425757560001207,45.86693303274135,12.96411695923805,13.294238918018584,39.529077505738684
Denmark,0.915990253,High,TRUE,25.639361736004023,78.41662312801509,10.488647637558941,15.150714098445082,46.33765262220748,13.252734010487965,12.386627725516059,37.883841578429184
Spain,0.811819795,High-middle,TRUE,18.75204146178069,331.80325174990304,15.253168701476538,3.4988727603041507,61.909918538428506,16.766526478786776,1.9855149829939123,35.132192358803266
New Zealand,0.866430611,High,TRUE,24.262503085875107,72.31543363851792,12.51596115462215,11.746541931252956,35.01107328065087,12.70013667862509,11.562366407250016,34.4621302125456
Qatar,0.859589918,High,FALSE,34.650378856194436,52.50339781162073,12.827137058980382,21.823241797214052,33.06729633097461,12.876328727880248,21.774050128314187,32.99275949049774
Armenia,0.717334917,High-middle,TRUE,52.58850121769493,89.66065553564201,21.753221050099466,30.835280167595467,52.572546648686824,33.76649837398599,18.822002843708944,32.09053451580062
Jamaica,0.691833531,Middle,TRUE,53.83521218491168,100.59196955475431,23.97612143736606,29.859090747545622,55.79219669633931,37.491542917988994,16.34366926692269,30.53841184212949
Slovakia,0.813141722,High,FALSE,27.384709244505085,75.95656626195189,15.17949942851818,12.205209815986905,33.85341140019796,16.594291812048212,10.790417432456874,29.92922252285698
Austria,0.853959728,High,TRUE,19.639198673891897,84.36516097503124,13.089567522393933,6.549631151497964,28.135602454990803,13.084639985493315,6.554558688398583,28.156769940015725
Trinidad and Tobago,0.770448612,High-middle,TRUE,60.79968973409354,43.72684101055689,17.779238517275804,43.02045121681773,30.94009918121918,23.75046283379706,37.04922690029648,26.645623708255012
Mauritius,0.736236312,High-middle,TRUE,67.30055296475429,42.7482619643772,20.23775115598167,47.06280180877262,29.893557955647065,30.460468200590547,36.84008476416374,23.400247470672213
Uruguay,0.745444259,High-middle,TRUE,42.02935061841444,73.49825611067726,19.540284454924848,22.489066163489593,39.32744903867088,28.717492056328418,13.311858562086023,23.278931877587514
Sweden,0.910927944,High,TRUE,17.11044033781144,96.44831899152426,10.678921593897211,6.4315187439142285,36.25325585819198,13.083876648995112,4.026563688816328,22.69697865346226
Suriname,0.654870057,Middle,FALSE,88.63759916271394,40.261512379458196,27.5489976493004,61.088601513413536,27.748038183672993,41.160871507571756,47.476727655142184,21.565169592586983
Bahrain,0.784320905,High-middle,FALSE,45.884149374355594,39.77509730397196,16.88203199890961,29.002117375445984,25.14075244629684,21.11066173922132,24.773487635134273,21.475125826282152
