location_name,sdi_value,sdi_group,total_rate,total_deaths,frontier_asmr,efficiency_gap,gap_pct,avoidable_deaths
India,0.606982048,Low-middle,74.32252372370134,81780.37047515619,32.713155967433565,41.60936775626777,55.98486928532355,45784.63351156952
El Salvador,0.608140065,Middle,74.10897881451552,325.71193577401937,32.5825539574085,41.526424857107024,56.03426942508801,182.51030364128363
Kyrgyzstan,0.625153433,Middle,71.52797609396154,566.5449465414605,30.693250231353634,40.83472586260791,57.08916719377891,323.4357917589597
Brazil,0.683949753,Middle,64.61436377282392,9601.244569915603,24.706797865060906,39.907565907763015,61.76268491642672,5929.986431772504
Congo,0.57784943,Low-middle,75.86333608423614,584.166802439305,36.0743564723047,39.78897961193144,52.4482334493583,306.38516827701835
Guinea-Bissau,0.373341963,Low,102.36112323326023,341.59049780076055,63.382907947782954,38.978215285477276,38.079120328382714,130.0746566878731
Cameroon,0.487083713,Low-middle,86.01826691726478,4417.5178444506,47.415087987122476,38.603178930142306,44.877885027923334,1982.4885793205376
Republic of Moldova,0.733718614,High-middle,58.58646100721821,86.37984218060963,20.43548971900522,38.15097128821299,65.11909173607971,56.249768671072054
Argentina,0.764786183,High-middle,56.0954795308397,1560.8700867773957,18.16226065093536,37.93321887990434,67.6225948992017,1055.5008556842963
Papua New Guinea,0.43671418,Low,91.21801568521052,1499.5650206784162,54.24074464708011,36.977271038130404,40.537245587250425,607.8823551729122
Saudi Arabia,0.828451182,High,51.29133203791124,1301.9899858288331,14.354599151244631,36.936732886666604,72.01359648715177,937.6098146979007
Guam,0.811868521,High-middle,51.75378859308332,5.952430928772075,15.25011839802028,36.50367019506304,70.53332941878887,4.198447715416682
Niger,0.425816102,Low,92.22539299522398,5019.674421780773,55.76746320849713,36.45792978672686,39.53133578798074,1984.3443511375376
Maldives,0.660888616,Middle,63.089257518631946,20.12686424495254,26.942354788866105,36.14690272976584,57.294861520744156,11.531658997613725
Palau,0.75589719,High-middle,54.37153508109455,0.5586129959626802,18.782116969961077,35.58941811113347,65.45597445069785,0.36564557991560986
Chile,0.788533125,High-middle,51.854302922042244,501.7276648066896,16.620052937537615,35.23424998450463,67.94855585557828,340.916702564062
Costa Rica,0.71538598,High-middle,56.99932989021171,163.91667391494119,21.918665996778362,35.08066389343335,61.545747925464,100.8837429354945
Oman,0.781268794,High-middle,51.965497894169964,225.44292649487818,17.075051684271426,34.89044620989854,67.14156050415312,151.36589889489207
Palestine,0.6379798,Middle,64.07445837682144,419.5528200666705,29.31014299724683,34.76431537957461,54.256120551384015,227.63308383210398
Bhutan,0.52425393,Low-middle,77.3642503322702,39.39040065778856,42.618555833128454,34.74569449914175,44.91182212703303,17.690946678551644
Burkina Faso,0.306760806,Low,108.32413397665654,4798.754312492175,73.76839842667566,34.55573554998088,31.900310929259323,1530.8175464162446
Mozambique,0.341791325,Low,102.7023614702525,5747.449458455536,68.1924814180568,34.5098800521957,33.601836956973386,1931.2485962146789
Sao Tome and Principe,0.522633002,Low-middle,76.0585591153559,16.896129491189264,42.823418196035995,33.23514091931991,43.696779568112895,7.383064459307889
Malawi,0.409532838,Low,91.11165550396295,2664.9400617783976,58.08280218992653,33.02885331403642,36.250963865539475,966.0664588335724
Colombia,0.688855489,Middle,57.138644978694266,2120.5823645308433,24.25161672911416,32.887028249580105,57.55654209483433,1220.533881296828
Nauru,0.626371926,Middle,62.901473030587,0.987123037722433,30.560235725967097,32.3412373046199,51.41570736967221,0.5075362924539852
Greenland,0.860113904,High,44.54592199518669,1.759195407492443,12.80309694981162,31.74282504537507,71.25865539118254,1.2535789930825494
Uganda,0.442281237,Low,85.12193721878526,6389.829017702718,53.467806732597566,31.654130486187697,37.18680697412753,2376.173382789899
Mali,0.284970766,Low,108.22599199249349,4978.613405897429,77.38014780793166,30.845844184561827,28.501327284393273,1418.9709010395054
Armenia,0.717334917,High-middle,52.58850121769493,89.66065553564201,21.755962643190998,30.832538574503936,58.62981043492723,52.567872375259995
Botswana,0.677582005,Middle,55.37723821938646,138.7928116416336,25.308462883613956,30.068775335772507,54.29807679583058,75.36182745226671
Jamaica,0.691833531,Middle,53.83521218491168,100.59196955475431,23.978876615191222,29.85633556972046,55.45874968816089,55.78704860176221
Gambia,0.432615004,Low,84.49654701073463,306.8447632730557,54.81287611810224,29.683670892632392,35.13004015283762,107.794688544704
Cabo Verde,0.562409777,Low-middle,67.24529269077473,25.47540545971621,37.91295584289873,29.332336847876,43.61991103638999,11.11234919768785
Bahamas,0.813601011,High,44.22326330661535,9.331195687798736,15.15366393720435,29.069599369411,65.73372744535224,6.133742740810083
Bahrain,0.784320905,High-middle,45.884149374355594,39.77509730397196,16.882148221186167,29.002001153169427,63.207014946600474,25.14065169794644
Northern Mariana Islands,0.791104245,High-middle,44.806609722483,1.2324965569181827,16.46238304354871,28.344226678934294,63.25902998349765,0.7796653664864492
